filingDate,year,form,accessionNumber,DocumentName,is10K
2023-10-10,2023,144,0001958244-23-001819,xsl144X01/primary_doc.xml,0
2023-10-06,2023,144,0001958244-23-001817,xsl144X01/primary_doc.xml,0
2023-10-06,2023,144,0001973141-23-000238,xsl144X01/primary_doc.xml,0
2023-10-03,2023,4,0000320193-23-000093,xslF345X05/wk-form4_1696381746.xml,0
2023-10-03,2023,4,0000320193-23-000092,xslF345X05/wk-form4_1696381688.xml,0
2023-10-03,2023,4,0000320193-23-000091,xslF345X05/wk-form4_1696381604.xml,0
2023-10-03,2023,4,0000320193-23-000090,xslF345X05/wk-form4_1696381514.xml,0
2023-10-03,2023,4,0000320193-23-000089,xslF345X05/wk-form4_1696381457.xml,0
2023-10-03,2023,4,0000320193-23-000088,xslF345X05/wk-form4_1696381345.xml,0
2023-10-03,2023,144,0001950047-23-004374,xsl144X01/primary_doc.xml,0
2023-10-03,2023,144,0001973141-23-000233,xsl144X01/primary_doc.xml,0
2023-10-03,2023,144,0001959173-23-004170,xsl144X01/primary_doc.xml,0
2023-09-19,2023,4,0000320193-23-000081,xslF345X05/wk-form4_1695162617.xml,0
2023-08-08,2023,4,0000320193-23-000079,xslF345X05/wk-form4_1691533817.xml,0
2023-08-07,2023,144,0001973141-23-000171,xsl144X01/primary_doc.xml,0
2023-08-04,2023,10-Q,0000320193-23-000077,aapl-20230701.htm,0
2023-08-03,2023,8-K,0000320193-23-000075,aapl-20230803.htm,0
2023-05-18,2023,4,0000320193-23-000070,xslF345X04/wf-form4_168444912415136.xml,0
2023-05-12,2023,4,0000320193-23-000068,xslF345X04/wf-form4_168393061463065.xml,0
2023-05-10,2023,4,0000320193-23-000066,xslF345X04/wf-form4_168375780902324.xml,0
2023-05-10,2023,8-K,0001140361-23-023909,ny20007635x4_8k.htm,0
2023-05-09,2023,424B2,0001140361-23-023700,ny20007635x3_424b2.htm,0
2023-05-09,2023,FWP,0001140361-23-023544,ny20007635x2_fwp.htm,0
2023-05-08,2023,424B2,0001140361-23-023333,ny20007635x1_424b2.htm,0
2023-05-05,2023,10-Q,0000320193-23-000064,aapl-20230401.htm,0
2023-05-04,2023,8-K,0000320193-23-000063,aapl-20230504.htm,0
2023-04-18,2023,4,0000320193-23-000057,xslF345X04/wf-form4_168185708431590.xml,0
2023-04-17,2023,4,0000320193-23-000055,xslF345X04/wf-form4_168177065948283.xml,0
2023-04-13,2023,144,0001958244-23-000454,xsl144X01/primary_doc.xml,0
2023-04-10,2023,4,0000320193-23-000053,xslF345X04/wf-form4_168116581286812.xml,0
2023-04-06,2023,144,0001958244-23-000440,xsl144X01/primary_doc.xml,0
2023-04-04,2023,4,0000320193-23-000051,xslF345X04/wf-form4_168064766485466.xml,0
2023-04-04,2023,4,0000320193-23-000050,xslF345X04/wf-form4_168064761527635.xml,0
2023-04-04,2023,4,0000320193-23-000049,xslF345X04/wf-form4_168064754806371.xml,0
2023-04-04,2023,4,0000320193-23-000048,xslF345X04/wf-form4_168064750462974.xml,0
2023-04-04,2023,4,0000320193-23-000047,xslF345X04/wf-form4_168064745080973.xml,0
2023-03-24,2023,4,0000320193-23-000040,xslF345X04/wf-form4_167969705479427.xml,0
2023-03-16,2023,SD,0001140361-23-012065,brhc10048434_sd.htm,0
2023-03-14,2023,4,0000320193-23-000038,xslF345X03/wf-form4_167883332720098.xml,0
2023-03-14,2023,4,0000320193-23-000037,xslF345X03/wf-form4_167883328933055.xml,0
2023-03-14,2023,4,0000320193-23-000036,xslF345X03/wf-form4_167883325244111.xml,0
2023-03-14,2023,4,0000320193-23-000035,xslF345X03/wf-form4_167883321069337.xml,0
2023-03-14,2023,4,0000320193-23-000034,xslF345X03/wf-form4_167883316975236.xml,0
2023-03-14,2023,4,0000320193-23-000033,xslF345X03/wf-form4_167883310220723.xml,0
2023-03-14,2023,4,0000320193-23-000032,xslF345X03/wf-form4_167883306952487.xml,0
2023-03-14,2023,4,0000320193-23-000031,xslF345X03/wf-form4_167883304133328.xml,0
2023-03-10,2023,8-K,0001140361-23-011192,brhc10049413_8k.htm,0
2023-02-22,2023,PX14A6G,0001096906-23-000438,nlpc_px14a6g.htm,0
2023-02-22,2023,PX14A6G,0001096906-23-000437,nlpc_px14a6g.htm,0
2023-02-22,2023,PX14A6G,0001214659-23-002862,f214237px14a6g.htm,0
2023-02-14,2023,PX14A6G,0001096906-23-000372,nlpc_px14a6g.htm,0
2023-02-14,2023,SC 13G/A,0001193125-23-038262,d382361dsc13ga.htm,0
2023-02-09,2023,SC 13G/A,0001104659-23-015055,tv0017-appleinc.htm,0
2023-02-07,2023,SC 13G/A,0001306550-23-008266,us0378331005_020723.txt,0
2023-02-03,2023,4,0000320193-23-000022,xslF345X03/wf-form4_167546747536649.xml,0
2023-02-03,2023,4,0000320193-23-000021,xslF345X03/wf-form4_167546742335512.xml,0
2023-02-03,2023,4,0000320193-23-000020,xslF345X03/wf-form4_167546736542524.xml,0
2023-02-03,2023,4,0000320193-23-000019,xslF345X03/wf-form4_167546729886985.xml,0
2023-02-03,2023,4,0000320193-23-000018,xslF345X03/wf-form4_167546724839309.xml,0
2023-02-03,2023,4,0000320193-23-000017,xslF345X03/wf-form4_167546717269434.xml,0
2023-02-03,2023,4,0000320193-23-000016,xslF345X03/wf-form4_167546711444862.xml,0
2023-02-03,2023,4,0000320193-23-000015,xslF345X03/wf-form4_167546705890329.xml,0
2023-02-03,2023,DEFA14A,0001140361-23-004439,brhc10047294_defa14a.htm,0
2023-02-03,2023,10-Q,0000320193-23-000006,aapl-20221231.htm,0
2023-02-02,2023,8-K,0000320193-23-000005,aapl-20230202.htm,0
2023-01-30,2023,PX14A6G,0001214659-23-001246,d126231px14a6g.htm,0
2023-01-23,2023,PX14A6G,0001214659-23-000970,f120232px14a6g.htm,0
2023-01-12,2023,DEFA14A,0001308179-23-000020,laap2023_def14a.htm,0
2023-01-12,2023,DEF 14A,0001308179-23-000019,laap2023_def14a.htm,0
2022-11-23,2022,4,0000320193-22-000113,xslF345X03/wf-form4_166924620985339.xml,0
2022-11-09,2022,25-NSE,0001354457-22-000638,xslF25X02/primary_doc.xml,0
2022-11-07,2022,8-K,0001193125-22-278435,d400465d8k.htm,0
2022-11-01,2022,4,0000320193-22-000111,xslF345X03/wf-form4_166734181374173.xml,0
2022-10-28,2022,10-K,0000320193-22-000108,aapl-20220924.htm,1
2022-10-27,2022,8-K,0000320193-22-000107,aapl-20221027.htm,0
2022-10-18,2022,4,0000320193-22-000102,xslF345X03/wf-form4_166613234346671.xml,0
2022-10-18,2022,4,0000320193-22-000101,xslF345X03/wf-form4_166613226881196.xml,0
2022-10-04,2022,4,0000320193-22-000097,xslF345X03/wf-form4_166493494107053.xml,0
2022-10-04,2022,4,0000320193-22-000095,xslF345X03/wf-form4_166493432440801.xml,0
2022-10-04,2022,4,0000320193-22-000096,xslF345X03/wf-form4_166493485929155.xml,0
2022-10-04,2022,4,0000320193-22-000098,xslF345X03/wf-form4_166493500034922.xml,0
2022-09-27,2022,4,0000320193-22-000090,xslF345X03/wf-form4_166432987613616.xml,0
2022-09-27,2022,4,0000320193-22-000089,xslF345X03/wf-form4_166432981128707.xml,0
2022-09-27,2022,4,0000320193-22-000088,xslF345X03/wf-form4_166432973592639.xml,0
2022-09-27,2022,4,0000320193-22-000087,xslF345X03/wf-form4_166432966938808.xml,0
2022-09-27,2022,4,0000320193-22-000086,xslF345X03/wf-form4_166432958917508.xml,0
2022-09-27,2022,4,0000320193-22-000085,xslF345X03/wf-form4_166432952647630.xml,0
2022-08-22,2022,4/A,0000320193-22-000078,xslF345X03/wf-form4a_166120817922787.xml,0
2022-08-19,2022,4,0000320193-22-000076,xslF345X03/wf-form4_166094821148314.xml,0
2022-08-19,2022,8-K,0001193125-22-225365,d366128d8k.htm,0
2022-08-09,2022,4,0000320193-22-000074,xslF345X03/wf-form4_166008422355199.xml,0
2022-08-08,2022,8-K,0001193125-22-214914,d297151d8k.htm,0
2022-08-05,2022,4,0000320193-22-000072,xslF345X03/wf-form4_165973862846098.xml,0
2022-08-02,2022,424B2,0001193125-22-210056,d358144d424b2.htm,0
2022-08-02,2022,FWP,0001193125-22-209084,d297161dfwp.htm,0
2022-08-01,2022,424B2,0001193125-22-207773,d358144d424b2.htm,0
